current_time,detector_temperature,backside_temperature
2023-12-25 18:35:46,8,31
2023-12-25 18:35:56,9,31
2023-12-25 18:36:07,7,32
2023-12-25 18:36:17,5,32
2023-12-25 18:36:28,1,32
2023-12-25 18:36:38,-2,33
2023-12-25 18:36:48,-5,33
2023-12-25 18:36:59,-8,33
2023-12-25 18:37:09,-11,33
2023-12-25 18:37:20,-13,33
2023-12-25 18:37:30,-15,33
2023-12-25 18:37:40,-17,33
2023-12-25 18:37:51,-19,33
2023-12-25 18:38:01,-21,33
2023-12-25 18:38:11,-24,33
2023-12-25 18:38:22,-26,33
2023-12-25 18:38:32,-28,34
2023-12-25 18:38:43,-31,34
2023-12-25 18:38:53,-33,34
2023-12-25 18:39:03,-35,34
2023-12-25 18:39:14,-37,34
2023-12-25 18:39:24,-40,35
2023-12-25 18:39:34,-42,35
2023-12-25 18:39:44,-44,35
2023-12-25 18:39:55,-47,35
2023-12-25 18:40:05,-49,36
2023-12-25 18:40:16,-51,36
2023-12-25 18:40:26,-53,36
2023-12-25 18:40:36,-55,37
2023-12-25 18:40:47,-57,37
2023-12-25 18:40:57,-60,38
2023-12-25 18:41:07,-62,38
2023-12-25 18:41:18,-64,39
2023-12-25 18:41:28,-65,39
2023-12-25 18:41:38,-67,40
2023-12-25 18:41:49,-69,40
2023-12-25 18:41:59,-70,40
2023-12-25 18:42:09,-71,40
2023-12-25 18:42:20,-72,41
2023-12-25 18:42:30,-74,41
2023-12-25 18:42:40,-74,41
2023-12-25 18:42:51,-75,41
2023-12-25 18:43:01,-76,42
2023-12-25 18:43:11,-77,42
2023-12-25 18:43:22,-78,42
2023-12-25 18:43:32,-78,42
2023-12-25 18:43:42,-79,42
2023-12-25 18:43:53,-79,42
2023-12-25 18:44:03,-80,43
2023-12-25 18:44:13,-80,43
2023-12-25 18:44:24,-80,43
2023-12-25 18:44:34,-80,42
2023-12-25 18:44:44,-79,41
2023-12-25 18:44:55,-76,39
2023-12-25 18:45:05,-72,39
2023-12-25 18:45:15,-71,40
2023-12-25 18:45:26,-71,41
2023-12-25 18:45:36,-72,41
2023-12-25 18:45:46,-73,42
2023-12-25 18:45:57,-74,40
2023-12-25 18:46:07,-72,39
2023-12-25 18:46:18,-70,39
2023-12-25 18:46:28,-71,41
2023-12-25 18:46:38,-72,41
2023-12-25 18:46:49,-73,41
2023-12-25 18:46:59,-74,41
2023-12-25 18:47:09,-75,42
2023-12-25 18:47:20,-76,42
2023-12-25 18:47:30,-76,42
2023-12-25 18:47:40,-77,42
2023-12-25 18:47:51,-78,42
2023-12-25 18:48:01,-78,42
2023-12-25 18:48:11,-79,42
2023-12-25 18:48:22,-79,42
2023-12-25 18:48:32,-80,43
2023-12-25 18:48:43,-80,43
2023-12-25 18:48:53,-80,43
2023-12-25 18:49:03,-80,43
2023-12-25 18:49:14,-81,43
2023-12-25 18:49:24,-81,42
2023-12-25 18:49:34,-81,42
2023-12-25 18:49:45,-81,42
2023-12-25 18:49:55,-80,42
2023-12-25 18:50:05,-80,42
2023-12-25 18:50:16,-80,42
2023-12-25 18:50:26,-80,42
2023-12-25 18:50:37,-80,42
2023-12-25 18:50:47,-80,42
2023-12-25 18:50:58,-80,42
2023-12-25 18:51:08,-80,42
2023-12-25 18:51:18,-80,42
2023-12-25 18:51:29,-80,42
2023-12-25 18:51:39,-80,41
2023-12-25 18:51:49,-80,41
2023-12-25 18:52:00,-80,41
2023-12-25 18:52:10,-80,41
2023-12-25 18:52:20,-80,41
2023-12-25 18:52:31,-80,41
2023-12-25 18:52:41,-80,41
2023-12-25 18:52:51,-80,41
2023-12-25 18:53:02,-80,41
2023-12-25 18:53:12,-80,42
2023-12-25 18:53:22,-80,42
2023-12-25 18:53:33,-80,42
2023-12-25 18:53:43,-80,42
2023-12-25 18:53:53,-80,42
2023-12-25 18:54:04,-80,42
2023-12-25 18:54:14,-80,42
2023-12-25 18:54:24,-80,42
2023-12-25 18:54:35,-80,42
2023-12-25 18:54:45,-80,42
2023-12-25 18:54:56,-80,42
2023-12-25 18:55:06,-80,42
2023-12-25 18:55:16,-80,42
2023-12-25 18:55:26,-80,42
2023-12-25 18:55:37,-80,42
2023-12-25 18:55:47,-80,42
2023-12-25 18:55:57,-80,42
2023-12-25 18:56:08,-80,42
2023-12-25 18:56:18,-80,42
2023-12-25 18:56:29,-80,42
2023-12-25 18:56:39,-80,42
2023-12-25 18:56:49,-80,42
2023-12-25 18:57:00,-80,42
2023-12-25 18:57:10,-80,42
2023-12-25 18:57:20,-80,42
2023-12-25 18:57:31,-80,42
2023-12-25 18:57:41,-80,42
2023-12-25 18:57:51,-80,42
2023-12-25 18:58:02,-80,42
2023-12-25 18:58:12,-80,43
2023-12-25 18:58:22,-80,43
2023-12-25 18:58:33,-80,43
2023-12-25 18:58:43,-80,43
2023-12-25 18:58:53,-80,43
2023-12-25 18:59:04,-80,43
2023-12-25 18:59:14,-80,43
2023-12-25 18:59:24,-80,43
2023-12-25 18:59:35,-80,43
2023-12-25 18:59:45,-80,43
2023-12-25 18:59:55,-80,43
2023-12-25 19:00:06,-80,43
2023-12-25 19:00:16,-80,43
2023-12-25 19:00:27,-80,43
2023-12-25 19:00:37,-80,43
2023-12-25 19:00:47,-80,43
2023-12-25 19:00:57,-80,43
2023-12-25 19:01:08,-80,43
2023-12-25 19:01:18,-80,43
2023-12-25 19:01:29,-80,43
2023-12-25 19:01:39,-80,43
2023-12-25 19:01:49,-80,43
2023-12-25 19:02:00,-80,43
2023-12-25 19:02:10,-80,43
2023-12-25 19:02:20,-80,44
2023-12-25 19:02:31,-80,44
2023-12-25 19:02:41,-80,44
2023-12-25 19:02:51,-80,44
2023-12-25 19:03:02,-80,44
2023-12-25 19:03:12,-80,44
2023-12-25 19:03:22,-80,44
2023-12-25 19:03:33,-80,44
2023-12-25 19:03:43,-80,44
2023-12-25 19:03:53,-80,44
2023-12-25 19:04:04,-80,44
2023-12-25 19:04:14,-80,44
2023-12-25 19:04:24,-80,44
2023-12-25 19:04:34,-80,44
2023-12-25 19:04:45,-80,44
2023-12-25 19:04:55,-80,44
2023-12-25 19:05:06,-80,44
2023-12-25 19:05:16,-80,44
2023-12-25 19:05:26,-80,44
2023-12-25 19:05:37,-80,44
2023-12-25 19:05:47,-80,44
2023-12-25 19:05:57,-80,44
2023-12-25 19:06:08,-80,44
2023-12-25 19:06:18,-80,44
2023-12-25 19:06:28,-80,44
2023-12-25 19:06:39,-80,44
2023-12-25 19:06:49,-80,45
2023-12-25 19:06:59,-80,45
2023-12-25 19:07:10,-80,45
2023-12-25 19:07:20,-80,45
2023-12-25 19:07:31,-80,45
2023-12-25 19:07:41,-80,45
2023-12-25 19:07:51,-80,45
2023-12-25 19:08:01,-80,45
2023-12-25 19:08:12,-80,45
2023-12-25 19:08:22,-80,45
2023-12-25 19:08:33,-80,45
2023-12-25 19:08:43,-80,45
2023-12-25 19:08:53,-80,45
2023-12-25 19:09:04,-80,45
2023-12-25 19:09:14,-80,45
2023-12-25 19:09:24,-80,45
2023-12-25 19:09:35,-80,45
2023-12-25 19:09:45,-80,45
2023-12-25 19:09:55,-80,45
2023-12-25 19:10:06,-80,45
2023-12-25 19:10:16,-80,45
2023-12-25 19:10:27,-80,45
2023-12-25 19:10:37,-80,45
2023-12-25 19:10:47,-80,45
2023-12-25 19:10:58,-80,45
2023-12-25 19:11:08,-80,45
2023-12-25 19:11:18,-80,45
2023-12-25 19:11:29,-80,45
2023-12-25 19:11:39,-80,45
2023-12-25 19:11:49,-80,45
2023-12-25 19:12:00,-80,45
2023-12-25 19:12:10,-80,45
2023-12-25 19:12:20,-80,45
2023-12-25 19:12:31,-80,45
2023-12-25 19:12:41,-80,45
2023-12-25 19:12:51,-79,45
2023-12-25 19:13:02,-79,45
2023-12-25 19:13:12,-79,45
2023-12-25 19:13:23,-79,45
2023-12-25 19:13:33,-79,45
2023-12-25 19:13:43,-79,45
2023-12-25 19:13:54,-79,45
2023-12-25 19:14:04,-79,45
2023-12-25 19:14:14,-79,45
2023-12-25 19:14:24,-79,45
2023-12-25 19:14:35,-79,45
2023-12-25 19:14:45,-79,45
2023-12-25 19:14:55,-79,45
2023-12-25 19:15:06,-79,45
2023-12-25 19:15:16,-79,45
2023-12-25 19:15:26,-79,45
2023-12-25 19:15:37,-79,45
2023-12-25 19:15:47,-79,45
2023-12-25 19:15:57,-79,45
2023-12-25 19:16:08,-78,43
2023-12-25 19:16:18,-74,42
2023-12-25 19:16:29,-67,41
2023-12-25 19:16:39,-62,41
2023-12-25 19:16:50,-60,41
2023-12-25 19:17:00,-58,40
2023-12-25 19:17:10,-55,40
2023-12-25 19:17:21,-54,41
2023-12-25 19:17:31,-56,42
2023-12-25 19:17:41,-58,43
2023-12-25 19:17:52,-60,43
2023-12-25 19:18:02,-62,44
2023-12-25 19:18:12,-64,44
2023-12-25 19:18:23,-65,44
2023-12-25 19:18:33,-67,44
2023-12-25 19:18:44,-68,44
