current_time,detector_temperature,backside_temperature
2023-12-25 18:45:47,-73,41
2023-12-25 18:45:57,-74,39
2023-12-25 18:46:08,-72,38
2023-12-25 18:46:18,-70,38
2023-12-25 18:46:28,-70,39
2023-12-25 18:46:39,-72,40
2023-12-25 18:46:49,-73,40
2023-12-25 18:47:00,-74,40
2023-12-25 18:47:10,-75,40
2023-12-25 18:47:20,-76,40
2023-12-25 18:47:31,-77,40
2023-12-25 18:47:41,-77,41
2023-12-25 18:47:51,-78,41
2023-12-25 18:48:02,-79,41
2023-12-25 18:48:12,-79,41
2023-12-25 18:48:22,-80,41
2023-12-25 18:48:33,-80,41
2023-12-25 18:48:43,-80,41
2023-12-25 18:48:53,-81,41
2023-12-25 18:49:04,-81,41
2023-12-25 18:49:14,-81,41
2023-12-25 18:49:25,-81,40
2023-12-25 18:49:35,-80,40
2023-12-25 18:49:45,-80,40
2023-12-25 18:49:56,-80,40
2023-12-25 18:50:06,-80,40
2023-12-25 18:50:16,-80,40
2023-12-25 18:50:27,-80,40
2023-12-25 18:50:37,-80,40
2023-12-25 18:50:47,-80,40
2023-12-25 18:50:58,-80,40
2023-12-25 18:51:08,-80,40
2023-12-25 18:51:19,-80,40
2023-12-25 18:51:29,-80,40
2023-12-25 18:51:39,-80,40
2023-12-25 18:51:50,-80,40
2023-12-25 18:52:00,-80,40
2023-12-25 18:52:10,-80,40
2023-12-25 18:52:21,-80,40
2023-12-25 18:52:31,-80,40
2023-12-25 18:52:41,-80,40
2023-12-25 18:52:52,-80,40
2023-12-25 18:53:02,-80,40
2023-12-25 18:53:12,-80,40
2023-12-25 18:53:23,-80,40
2023-12-25 18:53:33,-80,40
2023-12-25 18:53:43,-80,40
2023-12-25 18:53:54,-80,40
2023-12-25 18:54:04,-80,40
2023-12-25 18:54:14,-80,40
2023-12-25 18:54:25,-80,40
2023-12-25 18:54:35,-80,40
2023-12-25 18:54:45,-80,41
2023-12-25 18:54:56,-80,41
2023-12-25 18:55:06,-80,41
2023-12-25 18:55:16,-80,41
2023-12-25 18:55:27,-80,41
2023-12-25 18:55:37,-80,41
2023-12-25 18:55:47,-80,41
2023-12-25 18:55:58,-80,41
2023-12-25 18:56:08,-80,41
2023-12-25 18:56:19,-80,41
2023-12-25 18:56:29,-80,41
2023-12-25 18:56:39,-80,41
2023-12-25 18:56:50,-80,41
2023-12-25 18:57:00,-80,41
2023-12-25 18:57:10,-80,41
2023-12-25 18:57:21,-80,41
2023-12-25 18:57:31,-80,41
2023-12-25 18:57:41,-80,41
2023-12-25 18:57:52,-80,41
2023-12-25 18:58:02,-80,42
2023-12-25 18:58:12,-80,42
2023-12-25 18:58:23,-80,42
2023-12-25 18:58:33,-80,42
2023-12-25 18:58:43,-80,42
2023-12-25 18:58:54,-80,42
2023-12-25 18:59:04,-80,42
2023-12-25 18:59:14,-80,42
2023-12-25 18:59:25,-80,42
2023-12-25 18:59:35,-80,42
2023-12-25 18:59:45,-80,42
2023-12-25 18:59:56,-80,42
2023-12-25 19:00:06,-80,42
2023-12-25 19:00:16,-80,42
2023-12-25 19:00:27,-80,42
2023-12-25 19:00:37,-80,42
2023-12-25 19:00:47,-80,42
2023-12-25 19:00:58,-80,42
2023-12-25 19:01:08,-80,42
2023-12-25 19:01:18,-80,42
2023-12-25 19:01:29,-80,43
2023-12-25 19:01:39,-80,43
2023-12-25 19:01:49,-80,43
2023-12-25 19:02:00,-80,43
2023-12-25 19:02:10,-80,43
2023-12-25 19:02:20,-80,43
2023-12-25 19:02:31,-80,43
2023-12-25 19:02:41,-80,43
2023-12-25 19:02:52,-80,43
2023-12-25 19:03:02,-80,43
2023-12-25 19:03:12,-80,43
2023-12-25 19:03:23,-80,43
2023-12-25 19:03:33,-80,43
2023-12-25 19:03:43,-80,43
2023-12-25 19:03:54,-80,43
2023-12-25 19:04:04,-80,43
2023-12-25 19:04:14,-80,43
2023-12-25 19:04:25,-80,43
2023-12-25 19:04:35,-80,43
2023-12-25 19:04:45,-80,43
2023-12-25 19:04:56,-80,43
2023-12-25 19:05:06,-80,44
2023-12-25 19:05:16,-80,44
2023-12-25 19:05:27,-80,44
2023-12-25 19:05:37,-80,44
2023-12-25 19:05:48,-80,44
2023-12-25 19:05:58,-80,44
2023-12-25 19:06:08,-80,44
2023-12-25 19:06:19,-80,44
2023-12-25 19:06:29,-80,44
2023-12-25 19:06:39,-80,44
2023-12-25 19:06:49,-80,44
2023-12-25 19:07:00,-80,44
2023-12-25 19:07:10,-80,44
2023-12-25 19:07:20,-80,44
2023-12-25 19:07:31,-80,44
2023-12-25 19:07:41,-80,44
2023-12-25 19:07:51,-80,44
2023-12-25 19:08:02,-80,44
2023-12-25 19:08:12,-80,44
2023-12-25 19:08:22,-80,44
2023-12-25 19:08:33,-80,44
2023-12-25 19:08:43,-80,44
2023-12-25 19:08:53,-80,45
2023-12-25 19:09:04,-80,45
2023-12-25 19:09:14,-80,45
2023-12-25 19:09:24,-80,45
2023-12-25 19:09:35,-80,45
2023-12-25 19:09:45,-80,45
2023-12-25 19:09:55,-80,45
2023-12-25 19:10:06,-80,45
2023-12-25 19:10:16,-80,45
2023-12-25 19:10:26,-80,45
2023-12-25 19:10:37,-80,45
2023-12-25 19:10:47,-80,45
2023-12-25 19:10:57,-80,45
2023-12-25 19:11:08,-80,45
2023-12-25 19:11:18,-80,45
2023-12-25 19:11:28,-80,45
2023-12-25 19:11:39,-80,45
