current_time,detector_temperature,backside_temperature
2023-12-25 18:35:44,-80,41
2023-12-25 18:35:55,-79,40
2023-12-25 18:36:05,-76,38
2023-12-25 18:36:16,-72,38
2023-12-25 18:36:26,-70,39
2023-12-25 18:36:36,-71,40
2023-12-25 18:36:47,-72,41
2023-12-25 18:36:57,-73,41
2023-12-25 18:37:07,-75,41
2023-12-25 18:37:18,-76,41
2023-12-25 18:37:28,-76,42
2023-12-25 18:37:38,-77,42
2023-12-25 18:37:49,-78,42
2023-12-25 18:37:59,-79,42
2023-12-25 18:38:10,-79,42
2023-12-25 18:38:20,-80,42
2023-12-25 18:38:30,-80,42
2023-12-25 18:38:41,-81,42
2023-12-25 18:38:51,-81,42
2023-12-25 18:39:01,-81,42
2023-12-25 18:39:12,-81,42
2023-12-25 18:39:22,-81,42
2023-12-25 18:39:32,-80,41
2023-12-25 18:39:43,-80,41
2023-12-25 18:39:53,-80,41
2023-12-25 18:40:04,-80,41
2023-12-25 18:40:14,-80,41
2023-12-25 18:40:24,-80,41
2023-12-25 18:40:35,-80,41
2023-12-25 18:40:45,-80,41
2023-12-25 18:40:55,-80,41
2023-12-25 18:41:06,-80,41
2023-12-25 18:41:16,-80,41
2023-12-25 18:41:26,-80,41
2023-12-25 18:41:37,-80,41
2023-12-25 18:41:47,-80,41
2023-12-25 18:41:58,-80,41
2023-12-25 18:42:08,-80,41
2023-12-25 18:42:18,-80,41
2023-12-25 18:42:29,-80,40
2023-12-25 18:42:39,-80,40
2023-12-25 18:42:49,-80,40
2023-12-25 18:43:00,-80,40
2023-12-25 18:43:10,-80,40
2023-12-25 18:43:20,-80,40
2023-12-25 18:43:31,-80,40
2023-12-25 18:43:41,-80,40
2023-12-25 18:43:52,-80,40
2023-12-25 18:44:02,-80,40
2023-12-25 18:44:12,-80,40
2023-12-25 18:44:23,-80,40
2023-12-25 18:44:33,-80,39
2023-12-25 18:44:43,-79,38
2023-12-25 18:44:54,-74,37
2023-12-25 18:45:04,-71,37
2023-12-25 18:45:14,-70,38
2023-12-25 18:45:25,-71,39
2023-12-25 18:45:35,-73,39
2023-12-25 18:45:45,-74,40
2023-12-25 18:45:56,-74,38
2023-12-25 18:46:06,-73,36
2023-12-25 18:46:17,-71,37
2023-12-25 18:46:27,-71,38
2023-12-25 18:46:37,-72,39
2023-12-25 18:46:48,-73,39
2023-12-25 18:46:58,-75,39
2023-12-25 18:47:08,-76,39
2023-12-25 18:47:19,-77,40
