current_time,detector_temperature,backside_temperature
2023-12-27 14:58:01,23,22
2023-12-27 14:58:11,23,22
2023-12-27 14:58:21,21,22
2023-12-27 14:58:32,19,23
2023-12-27 14:58:42,15,23
2023-12-27 14:58:52,12,23
2023-12-27 14:59:03,9,23
2023-12-27 14:59:13,7,23
2023-12-27 14:59:24,5,23
2023-12-27 14:59:34,3,24
2023-12-27 14:59:44,1,24
2023-12-27 14:59:55,-1,24
2023-12-27 15:00:05,-4,24
2023-12-27 15:00:16,-6,24
2023-12-27 15:00:26,-8,25
2023-12-27 15:00:36,-11,25
2023-12-27 15:00:47,-13,25
2023-12-27 15:00:57,-15,25
2023-12-27 15:01:07,-18,26
2023-12-27 15:01:18,-20,26
2023-12-27 15:01:28,-22,26
2023-12-27 15:01:38,-25,27
2023-12-27 15:01:49,-27,27
2023-12-27 15:01:59,-29,27
2023-12-27 15:02:09,-31,28
2023-12-27 15:02:20,-34,28
2023-12-27 15:02:30,-36,28
2023-12-27 15:02:40,-38,29
2023-12-27 15:02:51,-40,29
2023-12-27 15:03:01,-43,30
2023-12-27 15:03:11,-45,30
2023-12-27 15:03:22,-47,31
2023-12-27 15:03:32,-49,31
2023-12-27 15:03:42,-52,32
2023-12-27 15:03:53,-54,32
2023-12-27 15:04:03,-56,33
2023-12-27 15:04:13,-58,34
2023-12-27 15:04:24,-61,34
2023-12-27 15:04:34,-63,35
2023-12-27 15:04:44,-65,36
2023-12-27 15:04:55,-67,36
2023-12-27 15:05:05,-68,37
2023-12-27 15:05:16,-70,37
2023-12-27 15:05:26,-71,37
2023-12-27 15:05:36,-73,38
2023-12-27 15:05:47,-74,38
2023-12-27 15:05:57,-75,38
2023-12-27 15:06:07,-76,39
2023-12-27 15:06:18,-77,39
2023-12-27 15:06:28,-77,39
2023-12-27 15:06:38,-78,40
2023-12-27 15:06:49,-79,40
2023-12-27 15:06:59,-79,40
2023-12-27 15:07:09,-80,40
2023-12-27 15:07:20,-80,40
2023-12-27 15:07:30,-81,41
2023-12-27 15:07:41,-81,41
2023-12-27 15:07:51,-81,41
2023-12-27 15:08:01,-81,41
2023-12-27 15:08:12,-81,40
2023-12-27 15:08:22,-81,40
2023-12-27 15:08:32,-81,40
2023-12-27 15:08:43,-81,40
2023-12-27 15:08:53,-80,40
2023-12-27 15:09:04,-80,40
2023-12-27 15:09:14,-80,40
2023-12-27 15:09:24,-80,40
2023-12-27 15:09:34,-80,40
2023-12-27 15:09:45,-80,41
2023-12-27 15:09:55,-80,41
2023-12-27 15:10:05,-80,41
2023-12-27 15:10:16,-80,41
2023-12-27 15:10:26,-80,41
2023-12-27 15:10:36,-80,41
2023-12-27 15:10:47,-80,41
2023-12-27 15:10:57,-80,41
2023-12-27 15:11:07,-80,41
2023-12-27 15:11:18,-80,41
2023-12-27 15:11:28,-80,41
2023-12-27 15:11:38,-80,41
2023-12-27 15:11:49,-80,41
2023-12-27 15:11:59,-80,41
2023-12-27 15:12:09,-80,41
2023-12-27 15:12:20,-80,41
2023-12-27 15:12:30,-80,41
2023-12-27 15:12:40,-80,41
2023-12-27 15:12:51,-80,41
2023-12-27 15:13:01,-80,41
2023-12-27 15:13:12,-80,41
2023-12-27 15:13:22,-80,41
2023-12-27 15:13:32,-80,42
2023-12-27 15:13:43,-80,42
2023-12-27 15:13:53,-80,42
2023-12-27 15:14:03,-80,42
2023-12-27 15:14:14,-80,42
2023-12-27 15:14:24,-80,42
2023-12-27 15:14:34,-80,42
2023-12-27 15:14:45,-80,42
2023-12-27 15:14:55,-80,42
2023-12-27 15:15:05,-80,42
2023-12-27 15:15:16,-80,42
2023-12-27 15:15:26,-80,42
2023-12-27 15:15:36,-80,42
2023-12-27 15:15:47,-80,42
2023-12-27 15:15:57,-80,42
2023-12-27 15:16:07,-80,42
2023-12-27 15:16:18,-80,42
2023-12-27 15:16:28,-80,42
2023-12-27 15:16:38,-80,42
2023-12-27 15:16:49,-80,42
2023-12-27 15:16:59,-80,42
2023-12-27 15:17:09,-80,42
2023-12-27 15:17:20,-80,42
2023-12-27 15:17:30,-80,42
2023-12-27 15:17:40,-80,42
2023-12-27 15:17:51,-80,42
2023-12-27 15:18:01,-80,42
2023-12-27 15:18:11,-80,42
2023-12-27 15:18:22,-80,42
2023-12-27 15:18:32,-80,43
2023-12-27 15:18:42,-80,43
2023-12-27 15:18:53,-80,43
