current_time,detector_temperature,backside_temperature
2023-12-27 14:58:03,23,22
2023-12-27 14:58:14,23,22
2023-12-27 14:58:24,21,23
2023-12-27 14:58:35,18,23
2023-12-27 14:58:45,15,23
2023-12-27 14:58:55,12,23
2023-12-27 14:59:06,9,23
2023-12-27 14:59:16,7,23
2023-12-27 14:59:26,5,24
2023-12-27 14:59:37,2,24
2023-12-27 14:59:47,0,24
2023-12-27 14:59:57,-2,24
2023-12-27 15:00:08,-4,24
2023-12-27 15:00:18,-7,25
2023-12-27 15:00:29,-9,25
2023-12-27 15:00:39,-11,25
2023-12-27 15:00:49,-14,25
2023-12-27 15:00:59,-16,26
2023-12-27 15:01:10,-18,26
2023-12-27 15:01:20,-20,26
2023-12-27 15:01:31,-23,26
2023-12-27 15:01:41,-25,27
2023-12-27 15:01:51,-27,27
2023-12-27 15:02:02,-29,27
2023-12-27 15:02:12,-32,28
2023-12-27 15:02:22,-34,28
2023-12-27 15:02:33,-36,28
2023-12-27 15:02:43,-39,29
2023-12-27 15:02:53,-41,29
2023-12-27 15:03:04,-43,30
2023-12-27 15:03:14,-45,30
2023-12-27 15:03:24,-48,30
2023-12-27 15:03:35,-50,31
2023-12-27 15:03:45,-52,31
2023-12-27 15:03:56,-54,32
2023-12-27 15:04:06,-57,33
2023-12-27 15:04:16,-59,33
2023-12-27 15:04:27,-61,34
2023-12-27 15:04:37,-63,34
2023-12-27 15:04:47,-65,35
2023-12-27 15:04:58,-67,36
2023-12-27 15:05:08,-69,36
2023-12-27 15:05:19,-71,37
2023-12-27 15:05:29,-72,37
2023-12-27 15:05:39,-73,38
2023-12-27 15:05:50,-75,38
2023-12-27 15:06:00,-76,38
2023-12-27 15:06:10,-77,39
2023-12-27 15:06:21,-78,39
2023-12-27 15:06:31,-78,39
2023-12-27 15:06:42,-79,39
2023-12-27 15:06:52,-80,40
2023-12-27 15:07:02,-80,40
2023-12-27 15:07:13,-81,40
2023-12-27 15:07:23,-81,40
2023-12-27 15:07:33,-81,40
2023-12-27 15:07:44,-81,39
2023-12-27 15:07:54,-81,39
2023-12-27 15:08:04,-80,39
2023-12-27 15:08:15,-80,39
2023-12-27 15:08:25,-80,39
2023-12-27 15:08:35,-80,39
2023-12-27 15:08:46,-80,39
2023-12-27 15:08:56,-80,39
2023-12-27 15:09:06,-80,39
2023-12-27 15:09:17,-80,39
2023-12-27 15:09:27,-80,40
2023-12-27 15:09:37,-80,40
2023-12-27 15:09:48,-80,40
2023-12-27 15:09:58,-80,40
2023-12-27 15:10:08,-80,40
2023-12-27 15:10:19,-80,40
2023-12-27 15:10:29,-80,40
