current_time,detector_temperature,backside_temperature
2023-12-28 16:44:27,-59,36
2023-12-28 16:44:38,-53,36
2023-12-28 16:44:48,-51,37
2023-12-28 16:44:59,-51,38
2023-12-28 16:45:09,-54,39
2023-12-28 16:45:19,-56,39
2023-12-28 16:45:30,-58,40
2023-12-28 16:45:40,-60,40
2023-12-28 16:45:50,-62,40
2023-12-28 16:46:01,-64,40
2023-12-28 16:46:11,-66,41
2023-12-28 16:46:21,-68,41
2023-12-28 16:46:32,-69,41
2023-12-28 16:46:42,-70,41
2023-12-28 16:46:52,-72,41
2023-12-28 16:47:03,-72,40
2023-12-28 16:47:13,-72,40
2023-12-28 16:47:23,-72,39
2023-12-28 16:47:34,-71,39
2023-12-28 16:47:44,-71,39
2023-12-28 16:47:55,-70,39
2023-12-28 16:48:05,-70,38
2023-12-28 16:48:15,-70,38
2023-12-28 16:48:26,-70,38
2023-12-28 16:48:36,-70,38
2023-12-28 16:48:46,-70,38
2023-12-28 16:48:57,-70,38
2023-12-28 16:49:07,-70,38
2023-12-28 16:49:18,-70,38
2023-12-28 16:49:28,-70,38
2023-12-28 16:49:38,-70,38
2023-12-28 16:49:49,-70,38
2023-12-28 16:49:59,-70,38
2023-12-28 16:50:10,-70,38
2023-12-28 16:50:20,-70,37
2023-12-28 16:50:30,-70,37
2023-12-28 16:50:41,-70,37
2023-12-28 16:50:51,-70,37
2023-12-28 16:51:01,-70,37
2023-12-28 16:51:12,-70,37
2023-12-28 16:51:22,-70,37
2023-12-28 16:51:32,-70,37
2023-12-28 16:51:43,-70,37
2023-12-28 16:51:53,-70,37
2023-12-28 16:52:03,-70,37
2023-12-28 16:52:14,-70,37
2023-12-28 16:52:24,-70,37
2023-12-28 16:52:34,-70,37
2023-12-28 16:52:45,-70,37
2023-12-28 16:52:55,-70,37
2023-12-28 16:53:05,-70,37
2023-12-28 16:53:16,-70,37
2023-12-28 16:53:26,-70,37
2023-12-28 16:53:36,-70,37
2023-12-28 16:53:47,-70,36
2023-12-28 16:53:57,-70,36
2023-12-28 16:54:08,-70,36
2023-12-28 16:54:18,-70,36
2023-12-28 16:54:28,-70,36
2023-12-28 16:54:38,-70,36
2023-12-28 16:54:49,-70,36
2023-12-28 16:54:59,-70,36
2023-12-28 16:55:09,-70,36
2023-12-28 16:55:20,-70,36
2023-12-28 16:55:30,-70,36
2023-12-28 16:55:41,-70,36
2023-12-28 16:55:51,-70,36
2023-12-28 16:56:01,-70,36
2023-12-28 16:56:12,-70,36
2023-12-28 16:56:22,-70,36
2023-12-28 16:56:32,-70,35
2023-12-28 16:56:42,-70,35
2023-12-28 16:56:53,-70,35
2023-12-28 16:57:03,-70,35
2023-12-28 16:57:14,-70,35
2023-12-28 16:57:24,-70,35
2023-12-28 16:57:34,-70,35
2023-12-28 16:57:45,-70,35
2023-12-28 16:57:55,-70,35
2023-12-28 16:58:05,-70,35
2023-12-28 16:58:16,-70,35
2023-12-28 16:58:26,-70,35
2023-12-28 16:58:36,-70,35
2023-12-28 16:58:47,-70,35
2023-12-28 16:58:57,-70,35
2023-12-28 16:59:07,-70,35
2023-12-28 16:59:18,-70,35
2023-12-28 16:59:28,-70,35
2023-12-28 16:59:38,-70,34
2023-12-28 16:59:49,-70,34
2023-12-28 16:59:59,-70,34
2023-12-28 17:00:09,-70,34
2023-12-28 17:00:20,-70,34
