current_time,detector_temperature,backside_temperature
2024-01-01 15:36:49,-59,44
2024-01-01 15:37:00,-60,43
2024-01-01 15:37:10,-59,42
2024-01-01 15:37:20,-57,42
2024-01-01 15:37:31,-57,43
2024-01-01 15:37:41,-58,44
2024-01-01 15:37:51,-59,44
2024-01-01 15:38:02,-60,45
2024-01-01 15:38:12,-61,45
2024-01-01 15:38:22,-61,45
2024-01-01 15:38:33,-62,45
2024-01-01 15:38:43,-63,45
2024-01-01 15:38:53,-63,45
2024-01-01 15:39:04,-64,45
2024-01-01 15:39:14,-64,45
2024-01-01 15:39:24,-65,45
2024-01-01 15:39:35,-65,45
2024-01-01 15:39:45,-65,45
2024-01-01 15:39:55,-65,45
2024-01-01 15:40:06,-65,45
2024-01-01 15:40:16,-66,45
2024-01-01 15:40:26,-66,45
2024-01-01 15:40:37,-66,45
2024-01-01 15:40:47,-66,45
2024-01-01 15:40:57,-66,45
2024-01-01 15:41:08,-66,45
2024-01-01 15:41:18,-66,45
2024-01-01 15:41:28,-66,45
2024-01-01 15:41:39,-66,45
2024-01-01 15:41:49,-66,45
2024-01-01 15:41:59,-66,45
2024-01-01 15:42:10,-66,45
2024-01-01 15:42:20,-66,45
2024-01-01 15:42:30,-66,45
2024-01-01 15:42:41,-66,45
2024-01-01 15:42:51,-66,45
2024-01-01 15:43:02,-67,45
2024-01-01 15:43:12,-67,45
2024-01-01 15:43:22,-67,45
2024-01-01 15:43:33,-67,45
2024-01-01 15:43:43,-67,45
2024-01-01 15:43:53,-67,45
2024-01-01 15:44:04,-67,45
2024-01-01 15:44:14,-67,45
2024-01-01 15:44:24,-67,45
2024-01-01 15:44:35,-67,45
2024-01-01 15:44:45,-67,45
2024-01-01 15:44:56,-67,45
2024-01-01 15:45:06,-67,45
2024-01-01 15:45:16,-67,45
2024-01-01 15:45:27,-67,45
2024-01-01 15:45:37,-67,45
2024-01-01 15:45:47,-67,45
2024-01-01 15:45:58,-67,45
2024-01-01 15:46:08,-67,45
2024-01-01 15:46:18,-67,45
2024-01-01 15:46:29,-67,45
2024-01-01 15:46:39,-67,45
2024-01-01 15:46:49,-67,45
2024-01-01 15:47:00,-67,45
2024-01-01 15:47:10,-67,45
2024-01-01 15:47:20,-67,45
2024-01-01 15:47:31,-67,45
2024-01-01 15:47:41,-67,45
2024-01-01 15:47:51,-67,45
2024-01-01 15:48:02,-67,45
2024-01-01 15:48:12,-67,45
2024-01-01 15:48:23,-67,45
2024-01-01 15:48:33,-67,45
2024-01-01 15:48:43,-67,45
2024-01-01 15:48:53,-67,45
2024-01-01 15:49:04,-67,45
2024-01-01 15:49:14,-67,45
2024-01-01 15:49:24,-67,45
2024-01-01 15:49:35,-67,45
2024-01-01 15:49:45,-67,45
2024-01-01 15:49:56,-67,45
2024-01-01 15:50:06,-67,45
2024-01-01 15:50:16,-67,45
2024-01-01 15:50:27,-67,45
2024-01-01 15:50:37,-67,45
2024-01-01 15:50:47,-66,45
2024-01-01 15:50:58,-66,45
2024-01-01 15:51:08,-66,45
2024-01-01 15:51:18,-66,45
2024-01-01 15:51:29,-66,45
2024-01-01 15:51:39,-66,45
2024-01-01 15:51:49,-66,45
2024-01-01 15:52:00,-66,45
2024-01-01 15:52:10,-66,45
2024-01-01 15:52:20,-66,45
2024-01-01 15:52:31,-66,45
2024-01-01 15:52:41,-66,45
2024-01-01 15:52:51,-66,45
2024-01-01 15:53:02,-66,45
2024-01-01 15:53:12,-66,45
2024-01-01 15:53:22,-66,45
2024-01-01 15:53:33,-66,45
2024-01-01 15:53:43,-66,45
2024-01-01 15:53:53,-66,45
2024-01-01 15:54:04,-66,45
2024-01-01 15:54:14,-66,45
2024-01-01 15:54:24,-66,45
2024-01-01 15:54:35,-66,45
2024-01-01 15:54:45,-66,45
2024-01-01 15:54:55,-66,45
2024-01-01 15:55:06,-66,45
2024-01-01 15:55:16,-66,45
2024-01-01 15:55:26,-66,44
2024-01-01 15:55:37,-64,43
2024-01-01 15:55:47,-59,42
2024-01-01 15:55:57,-52,42
2024-01-01 15:56:08,-48,42
2024-01-01 15:56:18,-46,42
2024-01-01 15:56:28,-46,42
2024-01-01 15:56:39,-46,42
2024-01-01 15:56:49,-47,41
2024-01-01 15:56:59,-46,40
2024-01-01 15:57:10,-44,40
2024-01-01 15:57:20,-41,39
